# file...... load_l671_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... load 63
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:01.800000 EST,FALSE,+60.4026730243,+2376.62501515,+291.85950954,-877.296034923,-2522.58730136,-1476.44419474,+1925.18682391
2000-01-01 00:00:01.810000 EST,FALSE,+60.415731685,+2368.60123706,+345.927319923,-819.162434518,-2541.35411141,-1519.55363649,+1890.35651565
2000-01-01 00:00:01.820000 EST,FALSE,+60.4276330634,+2360.06803985,+401.109728558,-759.728947962,-2559.93944013,-1563.35164546,+1854.55201385
2000-01-01 00:00:01.830000 EST,FALSE,+60.4385815224,+2350.69743341,+457.178300124,-699.053835705,-2577.9726088,-1607.47929123,+1817.5920985
2000-01-01 00:00:01.840000 EST,FALSE,+60.4485068997,+2339.7441507,+513.554094931,-637.289444992,-2594.6042856,-1651.06592665,+1779.08627469
2000-01-01 00:00:01.850000 EST,FALSE,+60.4572146363,+2326.81426609,+569.830006436,-574.605202285,-2609.33731881,-1693.56136432,+1738.87803264
2000-01-01 00:00:01.860000 EST,FALSE,+60.4646083792,+2312.08093383,+626.005653513,-511.097050726,-2622.29848355,-1735.04888789,+1697.12758834
2000-01-01 00:00:01.870000 EST,FALSE,+60.4707650415,+2295.93528745,+682.293441933,-446.788380653,-2633.87971335,-1775.90609689,+1654.09009784
2000-01-01 00:00:01.880000 EST,FALSE,+60.4758405244,+2278.56342868,+738.782651317,-381.710071961,-2644.25955116,-1816.30326047,+1609.89455902
2000-01-01 00:00:01.890000 EST,FALSE,+60.4799398525,+2259.84683942,+795.304807501,-315.96278378,-2653.26642002,-1856.03533625,+1564.5179839
2000-01-01 00:00:01.900000 EST,FALSE,+60.4830765672,+2239.56863769,+851.571309251,-249.698356028,-2660.60048842,-1894.74303153,+1517.90557032
2000-01-01 00:00:01.910000 EST,FALSE,+60.4852298703,+2217.64317207,+907.387140485,-183.051768802,-2666.10695141,-1932.21325593,+1470.075894
2000-01-01 00:00:01.920000 EST,FALSE,+60.4864185941,+2194.15830394,+962.726173798,-116.100430486,-2669.84198673,-1968.46675028,+1421.12329541
2000-01-01 00:00:01.930000 EST,FALSE,+60.4867206291,+2169.25477882,+1017.63600747,-48.8863836873,-2671.93651061,-2003.61536035,+1371.15469369
2000-01-01 00:00:01.940000 EST,FALSE,+60.486236337,+2143.00270291,+1072.10406319,+18.5321708767,-2672.44084045,-2037.68422851,+1320.24123219
2000-01-01 00:00:01.950000 EST,FALSE,+60.4850448857,+2115.38524522,+1126.01726361,+86.0567015765,-2671.29423295,-2070.56650806,+1268.42376415
2000-01-01 00:00:01.960000 EST,FALSE,+60.4831932597,+2086.36744936,+1179.22675954,+153.569019902,-2668.40709615,-2102.11493732,+1215.74335165
2000-01-01 00:00:01.970000 EST,FALSE,+60.4807178672,+2055.96080352,+1231.630988,+220.968432852,-2663.74781209,-2132.24673469,+1162.26019531
2000-01-01 00:00:01.980000 EST,FALSE,+60.4776688586,+2024.22770381,+1283.1966861,+288.18630275,-2657.35534524,-2160.96457664,+1108.04771449
2000-01-01 00:00:01.990000 EST,FALSE,+60.4741144292,+1991.24209135,+1333.91567403,+355.16929793,-2649.28943985,-2188.29914887,+1053.17762035
2000-01-01 00:00:02.000000 EST,FALSE,+60.4701268489,+1957.05572242,+1383.75408917,+421.854276463,-2639.58194679,-2214.24757751,+997.713618332
2000-01-01 00:00:02.010000 EST,FALSE,+60.4657677295,+1921.69764079,+1432.64213417,+488.160491149,-2628.23188196,-2238.7639585,+941.715787913
2000-01-01 00:00:02.020000 EST,FALSE,+60.4610855103,+1885.19559335,+1480.50249135,+554.002558663,-2615.23457386,-2261.79500277,+885.24639815
2000-01-01 00:00:02.030000 EST,FALSE,+60.4561234451,+1847.59263391,+1527.28101173,+619.307302426,-2600.60802966,-2283.31545146,+828.370324569
2000-01-01 00:00:02.040000 EST,FALSE,+60.4509275991,+1808.94574617,+1572.95126837,+684.017929495,-2584.39378647,-2303.33150658,+771.151666299
2000-01-01 00:00:02.050000 EST,FALSE,+60.4455475451,+1769.31384548,+1617.49608752,+748.084779546,-2566.63937857,-2321.85855303,+713.651705014
2000-01-01 00:00:02.060000 EST,FALSE,+60.4400311707,+1728.7493189,+1660.88911717,+811.454558558,-2547.38359943,-2338.90058886,+655.93002587
2000-01-01 00:00:02.070000 EST,FALSE,+60.4344198558,+1687.29908906,+1703.093012,+874.068449031,-2526.65649212,-2354.44909004,+598.046340169
2000-01-01 00:00:02.080000 EST,FALSE,+60.4287481218,+1645.01066105,+1744.07110291,+935.868608051,-2504.48914737,-2368.4963524,+540.060411023
2000-01-01 00:00:02.090000 EST,FALSE,+60.4230466437,+1601.93574845,+1783.79821344,+996.805068904,-2480.92122043,-2381.04691778,+482.030205353
2000-01-01 00:00:02.100000 EST,FALSE,+60.4173449829,+1558.12907415,+1822.26096494,+1056.83648799,-2456.00008156,-2392.11727711,+424.010680916
2000-01-01 00:00:02.110000 EST,FALSE,+60.4116716357,+1513.64499818,+1859.45023124,+1115.92569042,-2429.77482853,-2401.72748945,+366.054331785
2000-01-01 00:00:02.120000 EST,FALSE,+60.4060522347,+1468.53565206,+1895.35467396,+1174.03540117,-2402.29195626,-2409.89448603,+308.212577415
2000-01-01 00:00:02.130000 EST,FALSE,+60.4005080972,+1422.85151352,+1929.96077198,+1231.12800043,-2373.59578259,-2416.6323656,+250.536273416
2000-01-01 00:00:02.140000 EST,FALSE,+60.3950563896,+1376.64283474,+1963.25735535,+1287.16843627,-2343.73151506,-2421.95714213,+193.074860009
2000-01-01 00:00:02.150000 EST,FALSE,+60.3897113738,+1329.96019584,+1995.2391664,+1342.12675617,-2312.74720804,-2425.89020471,+135.875183464
2000-01-01 00:00:02.160000 EST,FALSE,+60.3844854142,+1282.85392647,+2025.9064211,+1395.97799672,-2280.69308474,-2428.45764766,+78.9811917623
