# file...... Gen_1_Speed.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... diesel_dg 0
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2000-01-01 00:00:01.290000 EST,+376.711583252,+0.338925249296,+0.950497714841,-0.375129998621,+0.314660691844+0.977776125993j,+0.359452418312+0.968536664152j,+2478.52426767-40.7696903286j,-1274.56972136-2126.08013453j,-1203.95454631+2166.84982486j,+0.441193798884+0.385805773065j,+3706724.0668,+1745060.94229,+3720348.43276,+9875.85356585,+9883.07161907
2000-01-01 00:00:01.300000 EST,+376.710362182,+0.336123216074,+0.950454002541,-0.375235331588,+0.31476815974+0.977736904734j,+0.359555617679+0.968495921733j,+2478.38968398-47.980439368j,-1280.74712137-2122.35820712j,-1197.64256261+2170.33864649j,+0.441239789665+0.385759382142j,+3706717.15396,+1745074.14101,+3720788.87891,+9877.0547679,+9883.09522971
2000-01-01 00:00:01.310000 EST,+376.709352238,+0.333310061109,+0.95041188684,-0.375337632411,+0.314872547495+0.977700559166j,+0.359655852883+0.968457621765j,+2478.23674783-55.209676082j,-1286.93135594-2118.61114217j,-1191.30539189+2173.82081826j,+0.441283026528+0.385714278244j,+3706710.34747,+1745084.6136,+3721206.82891,+9878.19072398,+9883.11813105
2000-01-01 00:00:01.320000 EST,+376.708541703,+0.33048783057,+0.950371269774,-0.375436995306,+0.314973944629+0.977664866752j,+0.359753207577+0.968420261324j,+2478.06207418-62.4536506323j,-1293.11748509-2114.83788307j,-1184.94458908+2177.29153371j,+0.441324595595+0.385670377363j,+3706707.74019,+1745091.42714,+3721605.14691,+9879.26934199,+9883.13682561
2000-01-01 00:00:01.330000 EST,+376.707921606,+0.327658470214,+0.950331325814,-0.375533500785,+0.315072435299+0.977628178168j,+0.359847761563+0.968382470112j,+2477.86261305-69.7087136953j,-1299.30082345-2111.03761314j,-1178.5617896+2180.74632684j,+0.441365669363+0.385627636051j,+3706705.36778,+1745097.3736,+3721984.89674,+9880.29367919,+9883.14801236
2000-01-01 00:00:01.340000 EST,+376.707483556,+0.324823841714,+0.950291446629,-0.3756272274,+0.31516810108+0.977590721216j,+0.359939592854+0.968344192727j,+2477.63833928-76.9703795523j,-1305.47747367-2107.21255343j,-1172.16086561+2184.18293298j,+0.441406472025+0.385586018902j,+3706701.93996,+1745104.55081,+3722346.03471,+9881.26383787,+9883.15130165
2000-01-01 00:00:01.350000 EST,+376.707219266,+0.321985726733,+0.950251714822,-0.375718248145,+0.315261019562+0.977553839844j,+0.360028777871+0.968306345885j,+2477.3914843-84.2336192783j,-1311.6441963-2103.36715088j,-1165.747288+2187.60077016j,+0.441446382765+0.385545523829j,+3706695.87988,+1745113.90537,+3722688.03038,+9882.1786257,+9883.14923636
2000-01-01 00:00:01.360000 EST,+376.707119126,+0.319145814323,+0.950212626186,-0.375806644482,+0.315351269321+0.977518477261j,+0.360115393217+0.968269721251j,+2477.12404434-91.4937537518j,-1317.79793721-2099.50547385j,-1159.32610713+2190.9992276j,+0.441484765652+0.385506119153j,+3706690.574,+1745122.54568,+3723011.76257,+9883.04062636,+9883.14404998
2000-01-01 00:00:01.370000 EST,+376.707437773,+0.316306943401,+0.9501759138,-0.37588878301,+0.315438106312+0.977484779383j,+0.360193794413+0.968235002331j,+2476.83366655-98.7303129731j,-1323.91979243-2095.63571969j,-1152.91387412+2194.36603267j,+0.441470472754+0.385415709378j,+3706192.17753,+1744971.04298,+3723224.78317,+9883.59774679,+9881.81513391
2000-01-01 00:00:01.380000 EST,+376.70780837,+0.313471756737,+0.950138605649,-0.375969702142,+0.315522412212+0.977448042475j,+0.360274324159+0.968198071937j,+2476.51908281-105.963329857j,-1330.02647693-2091.74677374j,-1146.49260588+2197.7101036j,+0.44150691321+0.385378644358j,+3706186.89652,+1744978.34827,+3723358.3502,+9883.94258753,+9881.79144771
2000-01-01 00:00:01.390000 EST,+376.708241948,+0.310640615617,+0.950101066041,-0.376048909207,+0.315604265089+0.977412794505j,+0.360352650794+0.968162047768j,+2476.18430734-113.179639407j,-1336.10859659-2087.8486949j,-1140.07571075+2201.02833431j,+0.441542664555+0.385342661177j,+3706180.83783,+1744987.07929,+3723523.57816,+9884.36982135,+9881.76675835
2000-01-01 00:00:01.400000 EST,+376.708766423,+0.307814226366,+0.950064345774,-0.37612618621,+0.315683746379+0.977380040649j,+0.360428784167+0.968127950449j,+2475.83190523-120.376720146j,-1342.16525029-2083.94496536j,-1133.66665495+2204.32168551j,+0.441576577654+0.385307681246j,+3706175.05304,+1744995.31449,+3723731.8393,+9884.90890368,+9881.74355918
2000-01-01 00:00:01.410000 EST,+376.709400818,+0.304993599752,+0.950028944341,-0.376201435718,+0.315760930268+0.9773490087j,+0.360502758193+0.968095438514j,+2475.46140854-127.552361733j,-1348.19428985-2080.03628502j,-1127.2671187+2207.58864675j,+0.441608743443+0.3852736688j,+3706170.54797,+1745001.3666,+3723962.13212,+9885.50358455,+9881.72083099
2000-01-01 00:00:01.420000 EST,+376.710150952,+0.302179886278,+0.949994604444,-0.37627462712,+0.315835885743+0.977318200706j,+0.360574615938+0.96806343423j,+2475.07071303-134.704548549j,-1354.19291756-2076.12183937j,-1120.87779547+2210.82638792j,+0.44163993815+0.385240571978j,+3706167.04816,+1745005.63578,+3724193.71947,+9886.09866247,+9881.69552137
2000-01-01 00:00:01.430000 EST,+376.711013562,+0.29937424188,+0.949960761356,-0.376345772918,+0.315908680006+0.977286842946j,+0.360644408102+0.968031234665j,+2474.65860262-141.830979233j,-1360.15853237-2072.20172594j,-1114.50007025+2214.03270518j,+0.441670781763+0.385208334657j,+3706165.36548,+1745008.79624,+3724415.28787,+9886.66419026,+9881.66532439
2000-01-01 00:00:01.440000 EST,+376.711982869,+0.296577772857,+0.949927108191,-0.376414894748,+0.315979373345+0.977255311181j,+0.360712186867+0.967998984362j,+2474.22582516-148.928869805j,-1366.08909719-2068.27798439j,-1108.13672797+2217.20685419j,+0.441701256424+0.385176960537j,+3706161.29352,+1745013.67484,+3724621.99831,+9887.18747396,+9881.63076342
2000-01-01 00:00:01.450000 EST,+376.713051289,+0.293791511262,+0.949893776472,-0.376482034166,+0.316048025813+0.977224476737j,+0.360778006476+0.967967304066j,+2473.7742426-155.9953012j,-1371.98301501-2064.35368672j,-1101.79122759+2220.34898792j,+0.441730925801+0.385146427837j,+3706156.68686,+1745019.20161,+3724813.69137,+9887.66828923,+9881.59338616
2000-01-01 00:00:01.460000 EST,+376.714211585,+0.291016411484,+0.949861078203,-0.376547239156,+0.31611469568+0.97719477298j,+0.360841921959+0.967936586039j,+2473.30521128-163.027725136j,-1377.83875713-2060.43128172j,-1095.46645415+2223.45900685j,+0.441759461374+0.385116724346j,+3706152.1518,+1745024.4387,+3724991.96684,+9888.11107277,+9881.55456558
2000-01-01 00:00:01.470000 EST,+376.71545742,+0.288253358541,+0.949829167511,-0.376610560175,+0.316179439495+0.977165942744j,+0.360903986715+0.967906712423j,+2472.81892845-170.024122766j,-1383.6546738-2056.51194962j,-1089.16425466+2226.53607238j,+0.44178692246+0.385087827805j,+3706148.07119,+1745028.79589,+3725158.59183,+9888.52068175,+9881.5143666
2000-01-01 00:00:01.480000 EST,+376.716783375,+0.285503178634,+0.949797945467,-0.376672047937,+0.316242312078+0.97713747036j,+0.36096425236+0.967877308703j,+2472.31501-176.982790628j,-1389.42909771-2052.5962095j,-1082.88591228+2229.57900013j,+0.441813607078+0.385059710022j,+3706144.33388,+1745032.45772,+3725314.7938,+9888.90051679,+9881.47203394
2000-01-01 00:00:01.490000 EST,+376.718184645,+0.282766647626,+0.949767218435,-0.376731752618,+0.316303366569+0.977109113181j,+0.361022769277+0.967848148831j,+2471.79342121-183.902041655j,-1395.16055049-2048.68487485j,-1076.63287073+2232.58691651j,+0.441839735308+0.385032345256j,+3706140.58254,+1745035.99574,+3725461.1759,+9889.25230519,+9881.42704898
2000-01-01 00:00:01.500000 EST,+376.719656646,+0.280044495268,+0.949736893377,-0.376789723782,+0.316362654561+0.977081031925j,+0.36107958705+0.967819307578j,+2471.25482869-190.78009938j,-1400.84782694-2044.77941118j,-1070.40700175+2235.55951056j,+0.441865295282+0.385005714399j,+3706136.60563,+1745039.75182,+3725597.99182,+9889.57684075,+9881.37965145
2000-01-01 00:00:01.510000 EST,+376.721194814,+0.277337405927,+0.94970702543,-0.376846010342,+0.316420226228+0.977053523326j,+0.361134754335+0.967790999845j,+2470.7002304-197.615210827j,-1406.48990795-2040.88155925j,-1064.21032245+2238.49677008j,+0.441890140553+0.384979802262j,+3706132.4842,+1745043.60787,+3725725.47638,+9889.87486679,+9881.33052031
2000-01-01 00:00:01.520000 EST,+376.722794628,+0.274646018377,+0.949677719242,-0.376900660285,+0.316476130388+0.9770267107j,+0.36118831844+0.967763342625j,+2470.13040505-204.405805243j,-1412.08582254-2036.99277881j,-1058.0445825+2241.39858405j,+0.441914177858+0.384954592636j,+3706128.43412,+1745047.23298,+3725844.00356,+9890.14749489,+9881.28015236
2000-01-01 00:00:01.530000 EST,+376.724451751,+0.271970926805,+0.949649015197,-0.376953720314,+0.31653041451+0.97700048017j,+0.361240325074+0.967736274292j,+2469.54572285-211.150539894j,-1417.63459299-2033.11406185j,-1051.91112985+2244.26460174j,+0.441937451674+0.384930066124j,+3706124.57516,+1745050.44634,+3725954.03964,+9890.39607682,+9881.22858158
2000-01-01 00:00:01.540000 EST,+376.726162122,+0.269312683302,+0.949620866295,-0.377005235697,+0.3165831247+0.976974646734j,+0.361290818453+0.967709656585j,+2468.94637879-217.848223392j,-1423.13528502-2029.24617291j,-1045.81109377+2247.09439631j,+0.441960080766+0.384906201857j,+3706120.85368,+1745053.33976,+3726056.01923,+9890.62187302,+9881.17558768
2000-01-01 00:00:01.550000 EST,+376.727921928,+0.266671800715,+0.949593199557,-0.377055250347,+0.316634305741+0.9769491346j,+0.361339841583+0.967683414666j,+2468.33271535-224.497718368j,-1428.58708487-2025.3899773j,-1039.74563047+2249.88769567j,+0.441982146953+0.384882980483j,+3706117.14211,+1745056.1209,+3726150.2828,+9890.82588763,+9881.12106583
2000-01-01 00:00:01.560000 EST,+376.729727511,+0.264048754722,+0.94956598241,-0.377103807018,+0.31668400115+0.976924007156j,+0.36138743645+0.967657579419j,+2467.70532015-231.097912158j,-1433.98932277-2021.54654022j,-1033.71599738+2252.64445238j,+0.442003649118+0.384860385375j,+3706113.37491,+1745058.90005,+3726237.11119,+9891.00896234,+9881.0651808
2000-01-01 00:00:01.570000 EST,+376.731575318,+0.261443985029,+0.949539233548,-0.377150947398,+0.31673225324+0.9768993643j,+0.361433643993+0.967632223239j,+2467.06487682-237.647756726j,-1439.34143289-2017.71697775j,-1027.72344393+2255.36473448j,+0.442024544104+0.384838401418j,+3706109.58928,+1745061.62566,+3726316.79462,+9891.17196104,+9881.00823069
2000-01-01 00:00:01.580000 EST,+376.733461914,+0.258857896341,+0.949512985001,-0.377196712075,+0.316779103161+0.976875237577j,+0.361478503977+0.967607377834j,+2466.41197347-244.146317584j,-1444.64290001-2013.90226643j,-1021.76907347+2258.04858402j,+0.442044812489+0.384817013222j,+3706105.86204,+1745064.18326,+3726389.66257,+9891.31584871,+9880.95042871
2000-01-01 00:00:01.590000 EST,+376.735384026,+0.256290859726,+0.949487243542,-0.377241140474,+0.31682459091+0.976851577042j,+0.361522054941+0.96758301247j,+2465.74705085-250.592782181j,-1449.8932408-2010.10319425j,-1015.85381005+2260.69597643j,+0.442064483501+0.384796204518j,+3706102.23054,+1745066.52027,+3726456.05898,+9891.44162451,+9880.89182179
