# file...... triplex_main_power.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... triplex_meter 28
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power
2000-01-01 00:00:03.190000 EST,+1.28870735474e-09-70.1905146375d
2000-01-01 00:00:03.200000 EST,+9.11254337403e-10-24.7194174338d
2000-01-01 00:00:03.210000 EST,+2.47888145075e-09-131.355440848d
2000-01-01 00:00:03.220000 EST,+5.76328601939e-10-5.3553877342d
2000-01-01 00:00:03.230000 EST,+1.82251219731e-09-166.462333319d
2000-01-01 00:00:03.240000 EST,+4.07526361423e-10-139.443386677d
2000-01-01 00:00:03.250000 EST,+1.82251435258e-09+157.571408545d
2000-01-01 00:00:03.260000 EST,+1.63010730784e-09-138.547992187d
2000-01-01 00:00:03.270000 EST,+1.68027706348e-09+27.8573781284d
2000-01-01 00:00:03.280000 EST,+9.11258658383e-10-21.1036940368d
2000-01-01 00:00:03.290000 EST,+9.11259118543e-10-20.6699862367d
2000-01-01 00:00:03.300000 EST,+1.15266230288e-09-91.8052006544d
2000-01-01 00:00:03.310000 EST,+1.15266284461e-09+178.620818567d
2000-01-01 00:00:03.320000 EST,+5.76331683508e-10-0.956927084194d
2000-01-01 00:00:03.330000 EST,+2.3762774447e-09-166.502142303d
2000-01-01 00:00:03.340000 EST,+2.37627844526e-09+75.8402500546d
2000-01-01 00:00:03.350000 EST,+2.19460844076e-09-112.910829509d
2000-01-01 00:00:03.360000 EST,+0+0d
2000-01-01 00:00:03.370000 EST,+5.76332853651e-10+91.0996573666d
2000-01-01 00:00:03.380000 EST,+1.46936676533e-09-167.189684832d
2000-01-01 00:00:03.390000 EST,+1.28872035349e-09-114.667362053d
2000-01-01 00:00:03.400000 EST,+1.63011717931e-09-42.7083770462d
2000-01-01 00:00:03.410000 EST,+5.76333641233e-10-177.317770271d
2000-01-01 00:00:03.420000 EST,+5.76333819365e-10+93.0695542522d
2000-01-01 00:00:03.430000 EST,+4.07529672844e-10-131.54635941d
2000-01-01 00:00:03.440000 EST,+8.15059577827e-10-41.1654679112d
2000-01-01 00:00:03.450000 EST,+1.63011960098e-09+49.2122713779d
2000-01-01 00:00:03.460000 EST,+1.28872303692e-09+158.021849208d
2000-01-01 00:00:03.470000 EST,+5.76334607549e-10-175.041539658d
2000-01-01 00:00:03.480000 EST,+1.82253049207e-09+23.7619406192d
2000-01-01 00:00:03.490000 EST,+2.3762895797e-09-160.27122191d
2000-01-01 00:00:03.500000 EST,+5.76335005144e-10+96.0551280281d
2000-01-01 00:00:03.510000 EST,+1.28872451991e-09+159.849759389d
2000-01-01 00:00:03.520000 EST,+3.10366026064e-09+74.9702106574d
2000-01-01 00:00:03.530000 EST,+2.07800666306e-09+63.4355265063d
2000-01-01 00:00:03.540000 EST,+1.28872525945e-09+124.041820054d
2000-01-01 00:00:03.550000 EST,+1.82253305622e-09+169.390231883d
2000-01-01 00:00:03.560000 EST,+2.96686935472e-09-142.774530961d
2000-01-01 00:00:03.570000 EST,+1.68029299421e-09+39.4776129335d
2000-01-01 00:00:03.580000 EST,+1.28872608922e-09-144.580759499d
2000-01-01 00:00:03.590000 EST,+2.44518617777e-09-125.808102636d
2000-01-01 00:00:03.600000 EST,+1.28872644267e-09+162.961962428d
2000-01-01 00:00:03.610000 EST,+8.15062270654e-10-35.1404294292d
2000-01-01 00:00:03.620000 EST,+514.235260388+13.4954671051d
2000-01-01 00:00:03.630000 EST,+514.234987408+13.4954674085d
2000-01-01 00:00:03.640000 EST,+514.234526588+13.4954695852d
2000-01-01 00:00:03.650000 EST,+514.234315374+13.4954716728d
2000-01-01 00:00:03.660000 EST,+514.234307582+13.4954715662d
2000-01-01 00:00:03.670000 EST,+514.234541357+13.495469748d
2000-01-01 00:00:03.680000 EST,+514.234744911+13.4954681271d
2000-01-01 00:00:03.690000 EST,+514.234743892+13.495467967d
2000-01-01 00:00:03.700000 EST,+514.234597779+13.4954688654d
2000-01-01 00:00:03.710000 EST,+514.234479757+13.4954695807d
2000-01-01 00:00:03.720000 EST,+514.23448683+13.4954694004d
2000-01-01 00:00:03.730000 EST,+514.234576636+13.4954686213d
2000-01-01 00:00:03.740000 EST,+514.234645089+13.4954679947d
2000-01-01 00:00:03.750000 EST,+514.234636956+13.4954679269d
2000-01-01 00:00:03.760000 EST,+514.234582061+13.4954682087d
2000-01-01 00:00:03.770000 EST,+514.234543663+13.4954683818d
2000-01-01 00:00:03.780000 EST,+514.234551797+13.4954682246d
2000-01-01 00:00:03.790000 EST,+514.234586237+13.4954678805d
2000-01-01 00:00:03.800000 EST,+514.234609039+13.4954676246d
2000-01-01 00:00:03.810000 EST,+514.234603649+13.4954675786d
2000-01-01 00:00:03.820000 EST,+514.234583549+13.4954676468d
2000-01-01 00:00:03.830000 EST,+514.234571428+13.495467664d
2000-01-01 00:00:03.840000 EST,+514.234576176+13.4954675645d
2000-01-01 00:00:03.850000 EST,+514.234588968+13.4954674114d
2000-01-01 00:00:03.860000 EST,+514.234596327+13.4954673022d
2000-01-01 00:00:03.870000 EST,+514.234593518+13.4954672721d
2000-01-01 00:00:03.880000 EST,+514.234586235+13.4954672797d
2000-01-01 00:00:03.890000 EST,+514.234582456+13.4954672665d
2000-01-01 00:00:03.900000 EST,+514.234584667+13.495467214d
2000-01-01 00:00:03.910000 EST,+514.234589258+13.4954671478d
2000-01-01 00:00:03.920000 EST,+514.234591543+13.4954671017d
2000-01-01 00:00:03.930000 EST,+514.234590267+13.4954670846d
2000-01-01 00:00:03.940000 EST,+514.234587725+13.4954670799d
2000-01-01 00:00:03.950000 EST,+0+0d
2000-01-01 00:00:03.960000 EST,+8.19853490267e-10+3.86891491677d
2000-01-01 00:00:03.970000 EST,+9.94171253084e-11+106.603649347d
2000-01-01 00:00:03.980000 EST,+1.82782818876e-26-135d
2000-01-01 00:00:03.990000 EST,+4.97061734356e-11+104.000161768d
2000-01-01 00:00:04.000000 EST,+1.600067384e-09-173.542425538d
2000-01-01 00:00:04.010000 EST,+2.38595732598e-09-168.003169912d
2000-01-01 00:00:04.020000 EST,+8.06913543532e-10+19.8548207492d
2000-01-01 00:00:04.030000 EST,+7.45526063441e-11+98.8074830264d
2000-01-01 00:00:04.040000 EST,+1.60606352135e-09-0.488619906242d
2000-01-01 00:00:04.050000 EST,+2.39384596282e-09-178.534772784d
2000-01-01 00:00:04.060000 EST,+2.38605274407e-09-176.247320482d
2000-01-01 00:00:04.070000 EST,+1.68166050014e-09-15.3020127831d
2000-01-01 00:00:04.080000 EST,+1.60266157196e-09+9.5210390009d
2000-01-01 00:00:04.090000 EST,+8.01311403848e-10+174.004571565d
2000-01-01 00:00:04.100000 EST,+1.60258802098e-09+172.744571266d
2000-01-01 00:00:04.110000 EST,+8.01278592503e-10-174.258564324d
2000-01-01 00:00:04.120000 EST,+1.20906490644e-09+167.908081852d
2000-01-01 00:00:04.130000 EST,+1.61783112188e-09-141.357704898d
2000-01-01 00:00:04.140000 EST,+8.19512968293e-10+160.86483446d
2000-01-01 00:00:04.150000 EST,+1.02694191112e-09-40.1253085736d
2000-01-01 00:00:04.160000 EST,+2.03807480046e-10+85.9686357457d
2000-01-01 00:00:04.170000 EST,+2.55425936789e-09+13.8074424243d
2000-01-01 00:00:04.180000 EST,+3.1493408145e-09+124.843081577d
2000-01-01 00:00:04.190000 EST,+1.01344538077e-09-95.0973630485d
2000-01-01 00:00:04.200000 EST,+2.20857320366e-25+159.44395478d
2000-01-01 00:00:04.210000 EST,+8.41421039274e-10+8.69551888459d
2000-01-01 00:00:04.220000 EST,+4.069993127e-10+84.468997112d
2000-01-01 00:00:04.230000 EST,+2.43473390602e-09-5.66899169725d
2000-01-01 00:00:04.240000 EST,+0+0d
2000-01-01 00:00:04.250000 EST,+4.98155924832e-09-17.3779356048d
2000-01-01 00:00:04.260000 EST,+1.67875408507e-09+8.55649752625d
2000-01-01 00:00:04.270000 EST,+1.73988197822e-09-25.8958019644d
2000-01-01 00:00:04.280000 EST,+2.449739212e-09+170.05116174d
2000-01-01 00:00:04.290000 EST,+2.93135807673e-09-151.298156441d
2000-01-01 00:00:04.300000 EST,+8.13013975605e-10+85.2687552278d
2000-01-01 00:00:04.310000 EST,+1.81923934782e-09-157.856245483d
2000-01-01 00:00:04.320000 EST,+2.44443373904e-09-6.46404039325d
2000-01-01 00:00:04.330000 EST,+1.64101543485e-09+169.160530465d
2000-01-01 00:00:04.340000 EST,+8.69257608293e-10-162.772762772d
